,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
5402,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2978-guadalajara-277-santiago-de-surco-lima-lima-cp-building,GUADALAJARA 277,-12.1329643,-77.0120508,Guadalajara 277,Santiago De Surco,En construcción,"31 de Enero, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Jardin interior', 'Lobby', 'Parque privado', 'Terraza', 'Video vigilancia', 'Otros']",flat,S01,Piso:,3,123.00 m2,"$ 250,000"
4340,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3197-luzzo-family-homes-cerro-colorado-arequipa-arequipa-anden,LUZZO Family Homes,-16.3702875,-71.5564844,"JCHV+VCJ, Arequipa 04017",Cerro Colorado,En planos,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,F02,Pisos: Entre 2 al 10,1,44.12 m2,"$ 68,165"
4240,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3025-centrix-28-miraflores-lima-lima-ee-inmobiliaria,Centrix 28,-12.12972221149553,-77.0214986734462,AV. 28 de Julio 1109 con Cl. Francisco del Castillo N° 359 - 365,Miraflores,En planos,"31 de Julio, 2026",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Parrillas']",flat,Dpto. 1205,Piso: 12,2,59.37 m2,"S/ 503,000"
55,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2279-sevilla-miraflores-lima-lima-edifica,Sevilla,-12.106246107262274,-77.03081131426016,Sevilla 107,Miraflores,Entrega inmediata,"15 de Noviembre, 2023",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",duplex,14,Piso: 16,2,84.45 m2,"S/ 801,793"
4613,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Dpto. 1501,Piso: 15,3,76.21 m2,"$ 150,000"
1688,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3119-hercelles-la-victoria-lima-lima-balance-grupo-inmobiliario,HERCELLES,-12.0868088,-77.0229109,Jirón Oswaldo Hercelles 266,La Victoria,En planos,"30 de Septiembre, 2025",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Otros']",flat,X05,Pisos: Entre 1 al 8,2,53.71 m2,"S/ 376,000"
4049,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO H,Piso: 1,1,62.27 m2,"S/ 377,875"
3682,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3237-valle-grande-4-carabayllo-lima-lima-enacorp,VALLE GRANDE 4,-11.862355623377484,-77.05571705709315,Av. San Juan de Dios s/n Paradero Haras - Carabayllo,Carabayllo,En construcción,"01 de Noviembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 154,Piso: 4,3,54.87 m2,"S/ 85,695"
6403,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,20,Piso: 1,2,80.08 m2,"S/ 794,126"
2761,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2644-c-gonzales-239-san-miguel-lima-lima-v&v-grupo-inmobiliario,C. GONZALES 239,-12.0756621,-77.0910708,C. Carlos Gonzalez 239 San Miguel 15088,San Miguel,En construcción,"31 de Enero, 2025",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Salon Gourmet', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 8,Pisos: Entre 2 al 19,2,56.50 m2,"S/ 390,000"
5596,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,Residencial Green Life,-12.176865728505682,-77.0041376935666,Los Gorriones 490,Chorrillos,En planos,"09 de Abril, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,306,Piso: 3,2,46.49 m2,"S/ 258,717"
4729,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3239-sky-park-san-borja-lima-lima-inhouse,SKY PARK,-12.0956057,-76.9882326,Jirón Paseo del Bosque 832,San Borja,En planos,"31 de Marzo, 2026",BBVA,"['Areas verdes', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,909,Piso: 9,2,61.15 m2,"S/ 479,000"
2593,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3376-naxos-jesus-maria-lima-lima-ifi-inmobiliaria,NAXOS,-12.0797597,-77.0492377,Jr Huascar 1787,Jesus Maria,En planos,"31 de Diciembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,4,"Pisos: 2, 4, 6, 8, 10",3,74.00 m2,"S/ 545,000"
389,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2665-bertolotto-etapa-iv-san-miguel-lima-lima-grupo-tyc,Bertolotto - Etapa IV,-12.0915197,-77.0828203,Av. Bertolotto 760,San Miguel,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,8,Pisos: Entre 2 al 10,1,35.82 m2,"S/ 253,908"
5068,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2730-emerald-pueblo-libre-2-pueblo-libre-lima-lima-fai-inmobiliaria,Emerald Pueblo Libre 2,-12.076693493713218,-77.0567324978256,Calle Jose Ugarteche 103 Pueblo Libre,Pueblo Libre,En construcción,"31 de Octubre, 2025",Banco BCP,"['Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X12,Pisos: Entre 3 al 9,2,59.78 m2,"S/ 388,101"
2778,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2452-soil-pueblo-libre-pueblo-libre-lima-lima-verdant-inmobiliaria,Soil Pueblo Libre,-12.0838136,-77.0657512,Av. La Marina 425,Pueblo Libre,En construcción,"30 de Junio, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Karaoke', 'Lobby', 'Minimarket', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,5,"Pisos: 4, 5, 6",1,36.71 m2,"S/ 262,000"
4956,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3180-mum-363-magdalena-del-mar-lima-lima-tale-inmobiliaria,MUM 363,-12.0949881,-77.0552728,Av. Javier Prado Oeste 2291,Magdalena Del Mar,En planos,"31 de Diciembre, 2026",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,XS01,Piso:,2,84.79 m2,"S/ 690,000"
2474,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2470-edificio-nitoa-4-surquillo-lima-lima-vitain,Edificio Nitoa 4,-12.1022439,-77.020318,Av. Andrés Aramburú 962,Surquillo,En construcción,"31 de Octubre, 2024",Banco Interbank,"['Área de juegos para niños', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Techo Panorámico', 'Zona de Parrillas']",flat,TIPO 1,Pisos: Entre 3 al 20,3,66.41 m2,"S/ 500,000"
1854,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2442-treehouse-miraflores-lima-lima-lugano,TreeHouse,-12.1221035,-77.026121,"Av. Ernesto Diez Canseco N° 465, Miraflores",Miraflores,Entrega inmediata,"30 de Agosto, 2024",Banco BCP,"['Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,6,Pisos: 2 y 12,1,61.00 m2,"S/ 506,000"
12,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",duplex,TIPO 13,Piso: 16,2,99.59 m2,"S/ 802,756"
6117,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2693-santa-isabel-147-miraflores-lima-lima-labok-grupo-inmobiliario,Santa Isabel 147,-12.1300885,-77.02741759999999,Santa Isabel 147,Miraflores,En construcción,"30 de Junio, 2025",Banco BCP,"['Areas verdes', 'Lobby', 'Video vigilancia', 'Otros']",duplex,Tipo SS1 - 101,Piso: 1,2,125.68 m2,"$ 275,000"
1813,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2385-edificio-altaurora-surquillo-lima-lima-la-venturosa,Edificio Altaurora,-12.120276422356577,-77.00656777460695,Tomas marsano 1921,Surquillo,En construcción,"30 de Septiembre, 2024",Banco BCP,"['Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza']",duplex,TIPO 2-C,Piso: 21,2,104.36 m2,"S/ 667,172"
3154,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2747-quarzo-jesus-maria-lima-lima-ciudaris,QUARZO,-12.0748933,-77.0411692,Av. Cuba 538,Jesus Maria,En construcción,"31 de Julio, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 4,Pisos: Entre 6 al 21,2,57.05 m2,"S/ 413,000"
5954,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2763-belisario-967-lince-lima-lima-grupo-sol,Belisario 967,-12.0832017,-77.0444768,Jiron Belisario flores 967 - 973,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,903,Piso: 9,3,77.52 m2,"S/ 519,000"
6078,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3216-republica-miraflores-lima-lima-capac-asociados,REPÚBLICA,-12.110038298780896,-77.04838514105717,mariano melgar 441,Miraflores,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Zona de Parrillas', 'Otros']",flat,X03B,"Pisos: 3, 5, 7, 9",2,65.25 m2,"S/ 542,903"
6247,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2622-park-living-pueblo-libre-lima-lima-ms-inmobiliaria,PARK LIVING,-12.0734473,-77.0698925,"Parque El Carmen N°1552-1554, Pueblo Libre",Pueblo Libre,Entrega inmediata,"30 de Abril, 2024",Banco Scotiabank,"['Área de juegos para niños', 'Karaoke', 'Lobby', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 2,Piso: 5,3,72.00 m2,"S/ 470,000"
2534,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2506-ocean-avenue-pueblo-libre-lima-lima-servipro,OCEAN AVENUE,-12.0749761,-77.0631473,Av. Sucre 425-437,Pueblo Libre,En construcción,"15 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,Dúplex D02,Piso: 18,3,124.70 m2,"S/ 820,000"
4512,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3167-hometown-condominio-san-borja-lima-lima-esparq-inversiones,Hometown Condominio,-12.0940626,-76.9894345,Durero 490 san borja,San Borja,En construcción,"30 de Mayo, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet']",flat,TIPO 9I,Pisos: 2 y 3,3,107.25 m2,"$ 238,000"
949,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2973-ecovento-san-miguel-lima-lima-ecohabitat-desarrollo-inmobiliario,ECOVENTO,-12.091312846459422,-77.08235788596275,Av. Alfonso Ugarte 119 - 125,San Miguel,En construcción,"30 de Noviembre, 2024",Banco Interbank,"['Lobby', 'Sala de usos Múltiples', 'Terraza']",flat,TIPO X06,Piso: 2,2,56.15 m2,"S/ 340,000"
6250,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3346-kauri-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Kaurí,-12.0778469,-77.06881729999999,Av Manuel Cipriano Dulanto 1351,Pueblo Libre,En planos,"30 de Noviembre, 2026",Banco Scotiabank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,KAU - 103,Piso: 1,2,76.59 m2,"S/ 437,386"
3859,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2517-catalino-etapa-i-barranco-lima-lima-grupo-tyc,Catalino Etapa I,-12.138646365352248,-77.0150527952137,"Jr. Progreso 450, Barranco",Barranco,Entrega inmediata,"01 de Junio, 2022","Banco BCP, BBVA","['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,TIPO 5.1,Piso: 1,3,80.89 m2,"S/ 493,201"
4388,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3208-girasol-jesus-maria-lima-lima-abril-grupo-inmobiliario,Girasol,-12.0757356,-77.0507258,"Av. Mello Franco 341, Jesús María 15072",Jesus Maria,En planos,"31 de Julio, 2026",Banco Scotiabank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,GIR X01,Pisos: Entre 4 al 17,2,56.14 m2,"S/ 366,989"
462,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1631-aspiria-barranco-lima-lima-grupo-t&c,ASPIRIA,-12.139487578321152,-77.01943345939085,Av. El Sol Este 530,Barranco,En construcción,"31 de Julio, 2026",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Salon Gourmet', 'Zona de Parrillas']",flat,TIPO 4,Pisos: Entre 2 al 13,2,38.36 m2,"S/ 343,220"
1964,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3390-residencial-seiss-comas-lima-lima-lider,RESIDENCIAL SEISS,-11.933657810275037,-77.06357006354521,Calle 18,Comas,En planos,"31 de Octubre, 2026",BBVA,"['Areas verdes', 'Boulevard peatonal', 'Cuarto servicio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,T09,Pisos: Entre 2 al 17,2,57.98 m2,"S/ 258,500"
2308,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2292-urban-642-jesus-maria-lima-lima-grupo-sol,URBAN 642,-12.088097391748354,-77.05719351106664,av. de la policía 640,Jesus Maria,Entrega inmediata,"31 de Mayo, 2023",Banco BCP,"['Área de juegos para niños', 'Cuarto servicio', 'Lobby']",flat,104,Piso: 1,1,60.86 m2,"S/ 430,000"
3106,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1646-edificio-liri-pueblo-libre-pueblo-libre-lima-lima-grupo-mg,Edificio Liri - Pueblo Libre,-12.0842128,-77.0675432,Av Antonio José de Sucre 1301,Pueblo Libre,Entrega inmediata,"31 de Octubre, 2022","Banco BANBIF, Banco BCP, BBVA, Banco Interbank, Banco Scotiabank","['Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,4,Pisos: 11 y 13,3,74.00 m2,"S/ 457,000"
2253,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3339-guisse-1060-jesus-maria-lima-lima-balance-grupo-inmobiliario,GUISSE 1060,-12.0757311,-77.03996250000002,Jiron Almte. Jorge Martin Guisse 1060,Jesus Maria,En planos,"28 de Febrero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO 13,Pisos: Entre 6 al 11,2,53.36 m2,"S/ 349,000"
5311,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3215-urban-heights-miraflores-lima-lima-edifica,Urban Heights,-12.1289342,-77.0225608,Avenida Paseo De La Republica 6143,Miraflores,En planos,"01 de Junio, 2026",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,A9,Pisos: Entre 3 al 19,1,41.53 m2,"S/ 453,437"
1120,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3322-avellana-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Avellana,-12.0725401,-77.05197679999999,Av. Brasil 1350,Pueblo Libre,En planos,"31 de Julio, 2027",Banco BCP,"['Piscina', 'Terraza', 'Zona de Parrillas']",flat,AVE-2-X07,Pisos: Entre 4 al 25,1,37.21 m2,"S/ 231,838"
2445,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2785-torre-paino-surquillo-lima-lima-tale-inmobiliaria,TORRE PAINO,-12.1027396,-77.0239488,"Avenida Aramburú 668, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Financiamiento Propio,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X04,Pisos: Entre 8 al 22,2,76.38 m2,"S/ 565,000"
4014,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3235-ako-san-miguel-lima-lima-reyna-grupo-inmobiliario,AKO,-12.089302098619292,-77.08310993479519,Jr. Arica 859,San Miguel,En planos,"30 de Octubre, 2025",Financiamiento Propio,"['Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,Tipologia1,Pisos: Entre 1 al 7,3,66.48 m2,"S/ 442,997"
3183,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2799-gala-bre%C3%B1a-lima-lima-inversiones-tierra-blanca,GALA,-12.0597544,-77.0535185,Pasaje Mariano Melgar N° 200,Breña,En construcción,"31 de Julio, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 2-A,Pisos: 5 y 6,3,70.40 m2,"S/ 404,400"
2025,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2945-aldabas-de-las-gardenias-edificio-residencial-116-santiago-de-surco-lima-lima-grupo-dicon,ALDABAS DE LAS GARDENIAS EDIFICIO RESIDENCIAL 116,-12.12620827016325,-76.98422297768116,Calle Aldabas 116 Esquina con Jr Batallón Callao Sur,Santiago De Surco,En construcción,"31 de Diciembre, 2024",Banco BCP,"['Areas verdes', 'Lobby', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,TIPO 12,Piso: 6,3,108.83 m2,"$ 213,300"
3172,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2438-inspiria-san-miguel-lima-lima-urbalima,INSPIRIA,-12.0782561,-77.1012282,Av. Razuri 243 - 247,San Miguel,En planos,"31 de Diciembre, 2025","Banco BANBIF, Banco Scotiabank","['Lobby', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 8 B,Piso: 16,3,60.90 m2,"S/ 410,011"
5801,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2920-abstract-miraflores-lima-lima-urbana-per%C3%BA,Abstract,-12.124144,-77.0219767,Casimiro ulloa 328,Miraflores,En planos,"31 de Julio, 2025",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,A02-Torre2,Piso: 1,2,55.15 m2,"S/ 675,806"
6079,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3216-republica-miraflores-lima-lima-capac-asociados,REPÚBLICA,-12.110038298780896,-77.04838514105717,mariano melgar 441,Miraflores,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Zona de Parrillas', 'Otros']",flat,X04B,"Pisos: 3, 5, 7, 9",3,63.75 m2,"S/ 566,559"
1331,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2918-aliaga-garden-etapa-2-magdalena-del-mar-lima-lima-evergran-grupo-inmobiliario,Aliaga Garden - Etapa 2,-12.0946576,-77.0593471,Av. Juan de Aliaga 456,Magdalena Del Mar,En construcción,"31 de Mayo, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Club House', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X-04,Pisos: Entre 9 al 22,3,94.27 m2,"S/ 799,900"
2210,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2507-flamingo-jesus-maria-lima-lima-grupo-tyc,FLAMINGO,-12.0668453,-77.04671429999999,Av. Brasil 737.,Jesus Maria,En construcción,"30 de Septiembre, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 5 A,Pisos: Entre 4 al 12,2,60.61 m2,"S/ 429,983"
4116,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2136-parque-sur-san-borja-lima-lima-rosiam,PARQUE SUR,-12.1022551,-77.0109933,Av. Parque Sur 515,San Borja,Entrega inmediata,"30 de Junio, 2023",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Video vigilancia']",duplex,702,Piso: 7,4,269.47 m2,"$ 548,200"
2235,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3294-epik-jesus-maria-lima-lima-ditrenzzo,EPIK,-12.0838606,-77.0501275,Av. Garibaldi 217,Jesus Maria,En construcción,"01 de Diciembre, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Terraza', 'Zona de Parrillas']",flat,X05,"Pisos: 3, 6, 7",1,40.66 m2,"S/ 330,300"
2999,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2874-verona-lince-lima-lima-grupo-inmobiliario-s&m,VERONA,-12.0836439,-77.0441778,Jirón León Velarde 930 - 940,Lince,En construcción,"31 de Diciembre, 2024",Banco BCP,"['Lobby', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,TIPO F,"Pisos: 3, 5, 7",2,75.78 m2,"S/ 539,744"
10,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 11,Pisos: Entre 2 al 15,1,54.34 m2,"S/ 532,267"
2802,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2452-soil-pueblo-libre-pueblo-libre-lima-lima-verdant-inmobiliaria,Soil Pueblo Libre,-12.0838136,-77.0657512,Av. La Marina 425,Pueblo Libre,En construcción,"30 de Junio, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Karaoke', 'Lobby', 'Minimarket', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,19,"Pisos: 15, 16, 17, 18, 19",2,59.68 m2,"S/ 384,000"
756,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2211-roosevelt-5591-miraflores-lima-lima-v&v-grupo-inmobiliario,ROOSEVELT 5591,-12.119809631210227,-77.01812982114635,Av. Roosevelt 5591 - miraflores,Miraflores,En construcción,"31 de Octubre, 2024",Banco Scotiabank,"['Piscina', 'Sala Bar', 'Salon Gourmet', 'Zona de Parrillas']",flat,Tipo 04,Pisos: 21 y 22,2,54.64 m2,"S/ 460,000"
2659,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2698-hara-etapa-5-la-victoria-lima-lima-grupo-lar,Hara (Etapa 5),-12.0811666,-77.01201929999999,"Calle Fermin tanguis 160, La victoria",La Victoria,En construcción,"30 de Septiembre, 2025",Banco BANBIF,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de cine', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X07-A,Pisos: Entre 2 al 25,1,36.00 m2,"S/ 262,344"
768,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2295-residencial-real-la-victoria-lima-lima-paz,Residencial Real,-12.0729018,-77.03024309999999,Av. Paseo de la República 1233,La Victoria,En construcción,"30 de Junio, 2024",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,1,Pisos: Entre 2 al 17,2,71.10 m2,"S/ 353,098"
