,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
5697,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2064-toscana-lince-lima-lima-toratto-grupo-inmobiliario,TOSCANA,-12.0902366,-77.0357975,Jr. Alayza y Roel N° 2616,Lince,Entrega inmediata,"31 de Agosto, 2023","BBVA, Otros","['Jardin interior', 'Lobby', 'Video vigilancia']",duplex,TIPO S,Piso: 8,3,132.26 m2,"S/ 1,062,224"
2107,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2930-more-jesus-maria-lima-lima-lima-metro-cuadrado,More +,-12.079714996986926,-77.05609912972689,Av. Gral. Eugenio Garzón 2022,Jesus Maria,En construcción,"30 de Abril, 2025",Banco BCP,"['Área de juegos para niños', 'Lobby', 'Sala de Niños', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas']",duplex,Duplex 02,Piso: 17,3,135.60 m2,"S/ 898,350"
3975,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2744-alborada-ii-san-miguel-lima-lima-grupo-mg,ALBORADA II,-12.085065492036632,-77.09353208541872,Av. La Paz 1147,San Miguel,En construcción,"31 de Diciembre, 2024",Banco Interbank,"['Jardin de niños', 'Sala de usos Múltiples', 'Terraza']",duplex,17,Piso: 16,1,80.10 m2,"S/ 363,730"
1621,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2695-blue-san-isidro-lima-lima-esparq-inversiones,BLUE,-12.100848,-77.02741259999999,Av. Paseo de la República 3620,San Isidro,En construcción,"30 de Marzo, 2026",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,E,Piso: 5,4,89.00 m2,"S/ 721,000"
4652,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3209-tulipan-cercado-de-lima-lima-lima-abril-grupo-inmobiliario,Tulipán,-12.0739493,-77.0349939,"Av. Petit Thouars 980, Lima 15046",Cercado de lima,En planos,"18 de Noviembre, 2026",Banco BCP,"['Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techo Panorámico', 'Zona de Parrillas', 'Otros']",flat,TLP X02,Pisos: Entre 4 al 30,2,56.10 m2,"S/ 349,412"
515,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3391-aster-reducto-miraflores-lima-lima-aster-homes,ASTER REDUCTO,-12.13373,-77.0231618,AV REDUCTO 1505,Miraflores,En planos,"30 de Diciembre, 2026",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,X01,Piso: 3,3,82.83 m2,"S/ 824,225"
5285,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1740-hills-camacho-santiago-de-surco-lima-lima-grupo-t&c,HILLS CAMACHO,-12.078566200280472,-76.96516147133944,Av. javier prado este 294,Santiago De Surco,Entrega inmediata,"30 de Junio, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Cuarto servicio', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,TIPO 7,Piso: 3,3,119.43 m2,"S/ 995,906"
5768,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3337-vanderghen-400-miraflores-lima-lima-aurora-grupo-inmobiliario,Vanderghen 400,-12.109729,-77.0406876,Av. Jorge Vanderghen 406,Miraflores,En planos,"01 de Junio, 2026",Banco Scotiabank,['Lobby'],flat,FLAT TIPICO 2,"Pisos: 2, 4, 6, 8",2,70.00 m2,"$ 211,000"
3552,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2780-dorue-surquillo-lima-lima-desarrolladora,DORUÉ,-12.108786,-77.0255908,"Av. Domingo Orué 230, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,1808,Piso: 18,2,65.00 m2,"S/ 499,000"
776,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2295-residencial-real-la-victoria-lima-lima-paz,Residencial Real,-12.0729018,-77.03024309999999,Av. Paseo de la República 1233,La Victoria,En construcción,"30 de Junio, 2024",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,8B,Piso: 11,2,71.73 m2,"S/ 393,412"
